Stadt,Domain,DR_offen,Status,Verlinkung,Firmen_ca,Listungsseite,Region,Evidenz,DR
Freital,freital.de,TODO (Ahrefs),FIRMEN-LINKS,dofollow ja,12-14,https://www.freital.de/Kultur-Tourismus/Feste-Veranstaltungen/Freital-sucht-den-Schlagerstar-2025/Die-Sponsoren/,Ost,"Dedizierte Sponsorenseite zum Stadtevent 'Freital sucht den Schlagerstar 2025': Emil Frey Sachsengarage, expert Pirna Freital, worx Group, Agentur Schröder, Radio Dresden, Hains Freizeitzentrum, Prestige Security, Biohof Klügel, Holz-Ideen Ulbricht - externe dofollow-Links, >6. Zusätzlich Windbergfest.",59.0
Glauchau,glauchau.de,TODO (Ahrefs),FIRMEN-LINKS,dofollow ja,22-26,https://www.glauchau.de/de/kultursommer-in-glauchau.html,Ost,"Glauchauer Kultursommer/Stadtfest: 27 Sponsoren (Platin/Gold/Silber/Bronze), ~26 als externe dofollow-Links: Glauchau-Trans, GMW Solidbau, RUCKS Maschinenbau, Rudolf-Virchow-Klinikum, hdk Ingenieure, eins energie, Volksbank-Raiffeisenbank Glauchau, besico Sachsenland.",52.0
Mühlhausen,muehlhausen.de,TODO (Ahrefs),FIRMEN-LINKS,dofollow ja,9-10,https://freiheit2025.muehlhausen.de/partner-sponsoren/,Ost,"Bauernkrieg-Jubiläum 2025 (offizielle Subdomain): Stadtwerke, Sparkasse Unstrut-Hainich, REWE Lichtenberg, ALY Gerüstbau, Trend Werbung, ThermoFlux, Pixo, Brauhaus zum Löwen, Radhalle - alle dofollow.",61.0
Nordhausen,nordhausen.de,TODO (Ahrefs),FIRMEN-LINKS,dofollow ja,8,https://www.nordhausen.de/index-c.php?ID=29145,Ost,"Rolandsfest 'mit freundlicher Unterstützung folgender Unternehmen': Badehaus, Energieversorgung Nordhausen, Stadtwerke, SWG, Verkehrsbetriebe, Südharzwerke, BBZ, Wasserverband - dofollow.",60.0
Sömmerda,soemmerda.de,TODO (Ahrefs),FIRMEN-LINKS,dofollow ja,27-29,https://www.soemmerda.de/tourismus-kultur/veranstaltungen/stadtjubilaeum-2026/sponsoring,Ost,"Stadtjubiläum 2026 Sponsoring (Premium/Gold/Silber/Bronze): Sömmerdaer Energieversorgung, Sparkasse Mittelthüringen, WGS, Stadtwerke, LEG Thüringen, MDC Power, VR Bank, Mubea Weißensee, Erdrich Umformtechnik, FUNKE Medien, REWE Fackelmann, AOK PLUS - ~86% dofollow-verlinkt.",52.0
Bad Kissingen,badkissingen.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,13,https://www.badkissingen.de/bildung-und-soziales/juedisches-leben/badkissinger-stolpersteine/38600.Paten-und-Sponsoren.html,BY,"Offizielle Stadtdomain badkissingen.de. Eigene Seite 'Paten und Sponsoren' (Stolpersteine-Projekt) listet 13 Firmen, u.a. Bayer. Staatsbad Bad Kissingen GmbH, Druckerei Wolfgang Lutz, Henkel Wasch- und Reinigungsmittel, MIKADO Marketing GmbH, perma-tec GmbH, Schick Bau, Sparkasse Bad Kissingen, VR-Bank, Walz-Druckcenter, Mack Druck & Verlag. Alle nur als Namen, keine externen dofollow-Links.",69.0
Bitterfeld-Wolfen,bitterfeld-wolfen.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,5+,https://www.bitterfeld-wolfen.de/de/sponsoren800/,Ost,"'Unterstützer und Sponsoren 800 Jahre Bitterfeld': Chemiepark Bitterfeld-Wolfen, envia THERM, Eurecat Deutschland, Förster Tür-/Schließtechnik, GKW Gemeinschaftsklärwerk. Dedizierte Seite, dofollow nicht hart verifizierbar.",54.0
Deggendorf,deggendorf.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,5,https://www.deggendorf.de/averanstaltungen/nightrun-beats-2024,BY,"Offizielle Stadtdomain deggendorf.de. Auf der Veranstaltungsseite Nightrun & Beats 2024 werden im Dank-Abschnitt 5 Firmen genannt: Stadtwerke Deggendorf, Sparkasse Deggendorf, Sport Pauli, Intersport Greil, Edeka Oswald. Reine Nennung, keine externen Links.",63.0
Döbeln,doebeln.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,8-11,https://www.doebeln.de/component/content/article/ein-riese-wird-100-so-feiert-die-stadt-doebeln-2025-das-jubilaeum-des-riesenstiefels?catid=27&Itemid=101,Ost,"Jubiläum Riesenstiefel/Stiefelparade: Sparkasse Döbeln, Stadtwerke Döbeln, Edeka, SachsenLotto, Karls Erlebnis-Dorf, IHK Chemnitz, Florena Cosmetic, BdS. Nur Nennung.",51.0
Husum,husum.org,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,5-6,https://husum.org/index.php?FID=3214.2076.1&ModID=7&object=tx%2C3215.5,Nord,"40 Jahre Husumer Hafentage: Stadtwerke Husum, Emil Frey Küstengarage, VR Bank Westküste, Nord-Ostsee Sparkasse, IG Gewerbegebiet Ost. Offizielle Domain husum.org (nicht husum.de). Nur Logos/Namen.",56.0
